time_s,supply_temperature_c,return_temperature_c,heat_load_kw,mass_flow_kg_s,flow_heat_transfer_kw,requested_cooling_fraction,applied_cooling_fraction,cooling_kw,energy_residual_kj
1570.0,8.66035837640334,11.046718851564183,50.0,5.0,49.87493393086163,0.49810751292100175,0.49810751292100175,49.81075129210018,1.7541523789077473e-14
1580.0,8.660665470368706,11.047317253808863,50.0,5.0,49.88102227389929,0.49819964111061166,0.49819964111061166,49.81996411106117,-4.798383912429927e-13
1590.0,8.660957614688506,11.047886525225612,50.0,5.0,49.88681423022552,0.4982872844065518,0.4982872844065518,49.828728440655176,4.083400284571326e-13
1600.0,8.661235537126641,11.048428083932667,50.0,5.0,49.89232422824592,0.4983706611379924,0.4983706611379924,49.83706611379924,-2.4515944829772707e-12
1610.0,8.661499930018731,11.04894327901283,50.0,5.0,49.89756599397666,0.4984499790056194,0.4984499790056194,49.844997900561935,2.4868995751603507e-12
1620.0,8.661751451996793,11.049433393874185,50.0,5.0,49.9025525852375,0.4985254355990378,0.4985254355990378,49.85254355990378,-3.375077994860476e-13
1630.0,8.661990729629968,11.049899649447212,50.0,5.0,49.907296424180394,0.49859721888899045,0.49859721888899045,49.859721888899045,1.4388490399142029e-12
1640.0,8.662218358985381,11.050343207226254,50.0,5.0,49.911809328234234,0.49866550769561435,0.49866550769561435,49.866550769561435,-1.7763568394002505e-13
1650.0,8.662434907113003,11.050765172162931,50.0,5.0,49.9161025395435,0.49873047213390076,0.49873047213390076,49.87304721339007,-8.171241461241152e-13
1660.0,8.662640913458235,11.051166595418703,50.0,5.0,49.92018675297378,0.49879227403747045,0.49879227403747045,49.879227403747045,-6.394884621840902e-13
1670.0,8.662836891205732,11.051548476983422,50.0,5.0,49.92407214275372,0.4988510673617195,0.4988510673617195,49.885106736171956,1.6342482922482304e-12
1680.0,8.663023328557797,11.051911768166418,50.0,5.0,49.92776838782018,0.49890699856733906,0.49890699856733906,49.8906998567339,-2.7888802378583932e-12
1690.0,8.663200689950553,11.052257373966322,50.0,5.0,49.931284695929556,0.49896020698516597,0.49896020698516597,49.896020698516594,-9.059419880941277e-13
1700.0,8.663369417210902,11.05258615532551,50.0,5.0,49.93462982659532,0.4990108251632705,0.4990108251632705,49.90108251632705,-1.936228954946273e-12
1710.0,8.66352993065716,11.052898931274814,50.0,5.0,49.93781211290896,0.4990589791971482,0.4990589791971482,49.90589791971482,-2.7889912601608557e-12
1720.0,8.663682630146129,11.053196480973815,50.0,5.0,49.94083948229864,0.4991047890438386,0.4991047890438386,49.91047890438386,2.8953506259199457e-12
1730.0,8.663827896069167,11.053479545651813,50.0,5.0,49.9437194762773,0.49914836882075003,0.49914836882075003,49.914836882075,3.3039126989820033e-12
1740.0,8.6639660902998,11.053748830454314,50.0,5.0,49.94645926922934,0.49918982708994,0.49918982708994,49.918982708993994,2.6634250360757505e-13
1750.0,8.664097557095184,11.054005006199628,50.0,5.0,49.949065686282864,0.4992292671285552,0.4992292671285552,49.92292671285552,-1.4566126083082054e-12
1760.0,8.664222623953687,11.054248711049949,50.0,5.0,49.951545220311864,0.49926678718610623,0.49926678718610623,49.926678718610624,-1.0302869668521453e-12
1770.0,8.664341602430726,11.054480552101088,50.0,5.0,49.953904048110566,0.4993024807292178,0.4993024807292178,49.93024807292178,-2.078337502098293e-12
1780.0,8.664454788914883,11.054701106894818,50.0,5.0,49.956148045780644,0.4993364366744648,0.4993364366744648,49.93364366744648,6.572520305780927e-13
1790.0,8.664562465366242,11.05491092485759,50.0,5.0,49.95828280336916,0.4993687396098725,0.4993687396098725,49.93687396098725,-3.517186542012496e-12
1800.0,8.664664900018787,11.05511052866922,50.0,5.0,49.96031363879404,0.499399470005636,0.499399470005636,49.9399470005636,-8.704148513061227e-13
